Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/11/2021,"35 WATERMEADOW PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2011,"67 Cluain Bui, Enniscorthy",,Wexford,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2015,"9 MCCANN ST, CASHEL, TIPPERARY",,Tipperary,"€63,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2015,"22 CRAMERS CLOSE, BELGOOLY, CORK",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"'Dun Ar Ruin', Duncannon, New Ross",,Wexford,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2014,"17 MARETIMO HOUSE, NEWTOWN AVENUE, BLACKROCK",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2015,"4 CLIFTON AVE, CLIFTON PARK, DANGAN UPPER",,Galway,"€241,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"45 FERNWOOD, GLYNTOWN, GLANMIRE",,Cork,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2011,"13 Hayden Park View, Lucan",,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2014,"MONEYNAMUCK2, JOHNSTOWN, VIA THURLES",,Kilkenny,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2010,"Tierlahood, Stradone",,Cavan,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"39 LAKESIDE JETTY, HOLIDAY COTTAGE, MOUNTSHANNON",,Clare,"€44,053.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
01/03/2017,"1 SHELBOURNE PLACE, SHELBOURNE RD, DUBLIN 4",Dublin 4,Dublin,"€730,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2014,"71 TOWNPARKS, SKERRIES, DUBLIN",,Dublin,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"8 WATERVIEW, POINT ROAD LOWER, DUNDALK",,Louth,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
